id,x,y,z,Punch 
1,8.322237014770508,-1.923829436302185,4.405186653137207,Upper-cut
2,8.350951194763184,-1.7587246894836426,4.2592244148254395,Upper-cut
3,8.267202377319336,-1.8687944412231445,4.362115859985352,Upper-cut
4,8.197810173034668,-2.053041934967041,4.46979284286499,Upper-cut
5,8.126026153564453,-2.2396819591522217,4.60139799118042,Upper-cut
6,7.9728851318359375,-2.2707886695861816,4.718646049499512,Upper-cut
7,7.903493404388428,-2.2707886695861816,4.773681163787842,Upper-cut
8,7.872386455535889,-2.251646041870117,4.752145767211914,Upper-cut
9,7.891529083251953,-2.1774685382843018,4.515256404876709,Upper-cut
10,7.963313579559326,-1.8831514120101929,4.35254430770874,Upper-cut
11,7.910671710968018,-1.765903115272522,4.285545349121094,Upper-cut
12,7.8628153800964355,-1.7730815410614014,4.278367042541504,Upper-cut
13,7.779066562652588,-1.9046868085861206,4.240081787109375,Upper-cut
14,7.6474609375,-2.146361827850342,4.240081787109375,Upper-cut
15,7.534998416900635,-2.3808584213256836,4.1491546630859375,Upper-cut
16,7.312466144561768,-2.5220351219177246,4.1659040451049805,Upper-cut
17,7.073183536529541,-2.6225335597991943,4.1970109939575195,Upper-cut
18,6.723831653594971,-2.7589244842529297,4.204189300537109,Upper-cut
19,6.333801746368408,-2.912065267562866,4.058227062225342,Upper-cut
20,5.900700569152832,-3.0340991020202637,3.8333017826080322,Upper-cut
21,5.350351333618164,-3.0317063331604004,3.7328033447265625,Upper-cut
22,4.067798614501953,-2.9599215984344482,3.8213376998901367,Upper-cut
23,3.421736478805542,-3.0628130435943604,4.005585193634033,Upper-cut
24,2.8666014671325684,-3.2614171504974365,4.1347975730896,Upper-cut
25,2.3306093215942383,-3.4121651649475098,4.029513359069824,Upper-cut
26,1.9142581224441528,-3.2757742404937744,3.8907296657562256,Upper-cut
27,1.612762451171875,-2.861815929412842,3.845266103744507,Upper-cut
28,1.3878371715545654,-2.495713949203491,3.6610186100006104,Upper-cut
29,1.2538390159606934,-2.132004976272583,3.404986619949341,Upper-cut
30,1.2969099283218384,-1.8807586431503296,3.1489546298980713,Upper-cut
31,1.4691931009292603,-1.8783657550811768,2.9240293502807617,Upper-cut
32,1.789831280708313,-1.9716858863830566,2.7397818565368652,Upper-cut
33,2.108076810836792,-2.076970100402832,2.761317253112793,Upper-cut
34,2.4502503871917725,-2.1750757694244385,2.9623143672943115,Upper-cut
35,2.7661030292510986,-2.196611166000366,3.005385160446167,Upper-cut
36,2.998206853866577,-2.1128623485565186,3.091526746749878,Upper-cut
37,3.2542388439178467,-1.950150489807129,3.3547372817993164,Upper-cut
38,3.4959139823913574,-1.765903115272522,3.462414264678955,Upper-cut
39,3.541377544403076,-1.6151553392410278,3.342773199081421,Upper-cut
40,3.407379388809204,-1.6773686408996582,3.0723843574523926,Upper-cut
41,3.2781670093536377,-2.1535403728485107,2.926422119140625,Upper-cut
42,3.184846878051758,-3.108276605606079,2.572284460067749,Upper-cut
43,3.280559778213501,-4.515256404876709,2.1343977451324463,Upper-cut
44,3.730410575866699,-5.38624382019043,2.59621262550354,Upper-cut
45,4.924428939819336,-5.481956481933594,3.187239646911621,Upper-cut
46,6.486942291259766,-5.4867424964904785,3.799802303314209,Upper-cut
47,8.176275253295898,-5.106283664703369,4.991427898406982,Upper-cut
48,9.970891952514648,-3.656233072280884,6.321837425231934,Upper-cut
49,11.593225479125977,-1.9884356260299683,8.039883613586426,Upper-cut
50,12.703495025634766,-1.2370892763137817,10.693524360656738,Upper-cut
51,13.445270538330078,-1.7778671979904175,13.555339813232422,Upper-cut
52,13.926227569580078,-2.8737800121307373,16.984254837036133,Upper-cut
53,13.753944396972656,-4.089334011077881,21.329620361328125,Upper-cut
54,13.6175537109375,-5.7164530754089355,27.007789611816406,Upper-cut
55,14.06979751586914,-6.86261510848999,33.77229690551758,Upper-cut
56,13.768301963806152,-7.45364236831665,40.012779235839844,Upper-cut
57,12.378071784973145,-7.707281589508057,45.27459716796875,Upper-cut
58,9.994820594787598,-8.044670104980469,48.83511734008789,Upper-cut
59,7.343572616577148,-8.764909744262695,50.548377990722656,Upper-cut
60,4.864608287811279,-9.059226989746094,51.2662239074707,Upper-cut
61,1.404586911201477,-9.525827407836914,52.316673278808594,Upper-cut
62,-3.5581271648406982,-11.038090705871582,53.824153900146484,Upper-cut
63,-9.231510162353516,-12.882957458496094,54.97988510131836,Upper-cut
64,-14.407185554504395,-14.225330352783203,54.63292694091797,Upper-cut
65,-18.5778751373291,-15.230316162109375,53.05366516113281,Upper-cut
